Name	IUPAC
CFG-103-Sp0	Gal(α1-3)Gal(β1-3)GlcNAc(β-Sp0
CFG-104-Sp8	Gal(α1-3)Gal(β1-4)GlcNAc(β-Sp8
CFG-105-Sp0	Gal(α1-3)Gal(β1-4)Glc(β-Sp0
CFG-105-Sp10	Gal(α1-3)Gal(β1-4)Glc(-Sp10
CFG-106-Sp8	Gal(α1-3)Gal(β-Sp8
CFG-107-Sp8	Gal(α1-4)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp8
CFG-108-Sp0	Gal(α1-4)Gal(β1-4)GlcNAc(β-Sp0
CFG-108-Sp8	Gal(α1-4)Gal(β1-4)GlcNAc(β-Sp8
CFG-109-Sp0	Gal(α1-4)Gal(β1-4)Glc(β-Sp0
CFG-110-Sp8	Gal(α1-4)GlcNAc(β-Sp8
CFG-111-Sp8	Gal(α1-6)Glc(β-Sp8
CFG-112-Sp8	Gal(β1-2)Gal(β-Sp8
CFG-113-Sp0	Gal(β1-3)[Fuc(α1-4)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-114-Sp0	Gal(β1-3)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-115-Sp0	Gal(β1-3)[Fuc(α1-4)]GlcNAc(-Sp0
CFG-115-Sp8	Gal(β1-3)[Fuc(α1-4)]GlcNAc(-Sp8
CFG-116-Sp8	Fuc(α1-4)[Gal(β1-3)]GlcNAc(β-Sp8
CFG-119-Sp8	Gal(β1-4)GlcNAc(β1-6)GalNAc(α-Sp8
CFG-119-Sp14	Gal(β1-4)GlcNAc(β1-6)GalNAc(-Sp14
CFG-120-Sp8	GlcNAc(β1-6)[Gal(β1-3)]GalNAc(α-Sp8
CFG-120-Sp14	GlcNAc(β1-6)[Gal(β1-3)]GalNAc(α-Sp14
CFG-121-Sp8	Neu5Ac(α2-6)[Gal(β1-3)]GalNAc(α-Sp8
CFG-121-Sp14	Neu5Ac(α2-6)[Gal(β1-3)]GalNAc(α-Sp14
CFG-122-Sp8	Neu5Ac(β2-6)[Gal(β1-3)]GalNAc(α-Sp8
CFG-123-Sp10	Neu5Ac(α2-6)[Gal(β1-3)]GlcNAc(β1-4)Gal(β1-4)Glc(β-Sp10
CFG-126-Sp8	Gal(β1-3)GalNAc(α-Sp8
CFG-126-Sp14	Gal(β1-3)GalNAc(α-Sp14
CFG-126-Sp16	Gal(β1-3)GalNAc(α-Sp16
CFG-127-Sp8	Gal(β1-3)GalNAc(β-Sp8
CFG-128-Sp0	Gal(β1-3)GalNAc(β1-3)Gal(α1-4)Gal(β1-4)Glc(β-Sp0
